"Início dos relatórios","Encerramento dos relatórios","Nome do conjunto de anúncios","Veiculação do conjunto de anúncios",Início,Término,"Data da última edição",Resultados,"Indicador de resultados","Custo por resultados","Valor usado (BRL)","Orçamento do conjunto de anúncios","Tipo de orçamento do conjunto de anúncios",Alcance,Frequência,Impressões,"Cliques no link","CTR (taxa de cliques no link)","CPC (custo por clique no link) (BRL)","CPM (custo por 1.000 impressões) (BRL)","Visualizações da página de destino","Visitas ao perfil do Instagram","Seguidores no Instagram","Cliques em Como chegar"
2026-07-01,2026-07-21,"Post do Instagram: Compre e concorra a um Iphone...",active,2026-06-24,2026-07-24,2026-06-24,237,profile_visit_view,0.82991561,196.69,"Usando orçamento da campanha",0,19527,1.386081,27066,231,0.853469,0.851472,7.267051,,237,15,
2026-07-01,2026-07-21,"Post do Instagram: Começou o Arraiá do Cidade! 🪅...",not_delivering,2026-06-25,2026-06-28,2026-06-25,,,,0,"Usando orçamento da campanha",0,0,0,0,,,,0,,0,0,
2026-07-01,2026-07-21,"Post do Instagram: Vai ter emoção em campo e no...",not_delivering,2026-06-26,2026-06-29,2026-06-26,,,,0,"Usando orçamento da campanha",0,0,0,0,,,,0,,0,0,
2026-07-01,2026-07-21,"Post do Instagram: A moda que une tendência,...",active,2026-06-30,2026-07-30,2026-06-30,505,profile_visit_view,0.36629703,184.98,"Usando orçamento da campanha",0,7020,1.405128,9864,542,5.494728,0.341292,18.753041,2,505,52,
2026-07-01,2026-07-21,[ADV][Frio][Amplo][20km],active,2026-07-01,Contínuo,2026-07-20,9031,profile_visit_view,0.21559517,1947.04,70,Diário,158633,3.206773,508700,9369,1.841753,0.207817,3.827482,10,9031,131,
2026-07-01,2026-07-21,[Quente][retargeting][20km],active,2026-07-01,Contínuo,2026-07-20,7334,profile_visit_view,0.21186665,1553.83,50,Diário,54401,5.626275,306075,7402,2.418362,0.20992,5.076632,12,7334,107,
2026-07-01,2026-07-21,"Post do Instagram: A Operação Férias começou no...",not_delivering,2026-07-01,2026-07-07,2026-07-01,78,profile_visit_view,0.53474359,41.71,"Usando orçamento da campanha",0,5811,1.152469,6697,72,1.075108,0.579306,6.228162,,78,2,
2026-07-01,2026-07-21,"Post do Instagram: 🍌💛 Eles estão chegando!

Nos...",not_delivering,2026-07-01,2026-07-04,2026-07-01,125,profile_visit_view,0.1668,20.85,"Usando orçamento da campanha",0,4310,1.136659,4899,125,2.551541,0.1668,4.255971,,125,4,
2026-07-01,2026-07-21,[ADV][Frio][Amplo][20km],active,2026-07-03,Contínuo,2026-07-20,8999,total_profile_visits,0.26447828,2380.04,110,Diário,237063,1.908687,452479,7447,1.645822,0.319597,5.260001,62,6582,427,
2026-07-01,2026-07-21,[Quente][retargeting][20km],active,2026-07-03,Contínuo,2026-07-03,13397,total_profile_visits,0.17840935,2390.15,133,Diário,99437,2.005531,199424,13369,6.703807,0.178783,11.985268,5,13239,35,
2026-07-01,2026-07-21,"Post do Instagram: ✨ As férias ficam ainda...",recently_completed,2026-07-03,2026-07-20,2026-07-03,160,profile_visit_view,0.6341875,101.47,"Usando orçamento da campanha",0,6119,1.246936,7630,151,1.97903,0.671987,13.29882,,160,15,
2026-07-01,2026-07-21,"Post do Instagram: Férias com criatividade no...",archived,2026-07-07,2026-07-11,2026-07-10,419,actions:link_click,0.15933174,66.76,"Usando orçamento da campanha",0,13265,1.176856,15611,419,2.684005,0.159332,4.276472,121,35,0,
2026-07-01,2026-07-21,"Post do Instagram: Férias com criatividade no...",not_delivering,2026-07-10,2026-07-11,2026-07-10,540,actions:link_click,0.27731481,149.75,"Usando orçamento da campanha",0,29856,1.230238,36730,540,1.470188,0.277315,4.077049,164,24,1,
2026-07-01,2026-07-21,"Post do Instagram: ✨ A Feira de Artesanato está...",recently_completed,2026-07-13,2026-07-15,2026-07-13,375,profile_visit_view,0.26653333,99.95,"Usando orçamento da campanha",0,7361,1.468822,10812,391,3.616352,0.255627,9.244358,1,375,43,
2026-07-01,2026-07-21,"Post do Instagram: Férias com muita diversão e...",recently_completed,2026-07-14,2026-07-17,2026-07-14,1223,actions:link_click,0.19623876,240,"Usando orçamento da campanha",0,39544,1.62409,64223,1223,1.904302,0.196239,3.736979,576,192,8,
2026-07-01,2026-07-21,"CJ 03[LL 5%] [10km]",not_delivering,2024-08-15,Contínuo,2024-08-15,,,,0,"Usando orçamento da campanha",0,0,0,0,,,,0,,0,0,
2026-07-01,2026-07-21,"CJ 01 [Interesses] [5km]",not_delivering,2024-08-15,Contínuo,2024-08-15,,,,0,"Usando orçamento da campanha",0,0,0,0,,,,0,,0,0,
2026-07-01,2026-07-21,"CJ 03 [LL2% ] [Curitiba 40km] [30+]",inactive,2024-09-06,Contínuo,2025-10-09,,,,0,"Usando orçamento da campanha",0,0,0,0,,,,0,,0,0,
2026-07-01,2026-07-21,"CJ 02 [ Remarketing] [Curitiba 40km] [35+]",not_delivering,2024-09-06,Contínuo,2026-02-11,,,,0,"Usando orçamento da campanha",0,0,0,0,,,,0,,0,0,
2026-07-01,2026-07-21,"CJ 01 [Interesses] [CURITIBA]  [17km] [novos]",not_delivering,2024-10-16,Contínuo,2024-10-16,0,reach,,0,"Usando orçamento da campanha",0,0,0,0,,,,0,,0,0,
2026-07-01,2026-07-21,"CJ 02 [LL2% - 90D] [18+]",not_delivering,2024-11-21,Contínuo,2024-11-21,0,reach,,0,"Usando orçamento da campanha",0,0,0,0,,,,0,,0,0,
2026-07-01,2026-07-21,"CJ 01 {interesses} (22+)  (5km)",not_delivering,2024-12-18,Contínuo,2024-12-19,,,,0,"Usando orçamento da campanha",0,0,0,0,,,,0,,0,0,
2026-07-01,2026-07-21,"CJ 01 [Seguidores 90D] [10km] [Facebook - Instagram]",not_delivering,2025-01-03,Contínuo,2025-01-03,,,,0,"Usando orçamento da campanha",0,0,0,0,,,,0,,0,0,
2026-07-01,2026-07-21,"CJ 02 [LL 2% ] [5km]",not_delivering,2025-01-03,Contínuo,2025-01-03,,,,0,"Usando orçamento da campanha",0,0,0,0,,,,0,,0,0,
2026-07-01,2026-07-21,"CJ 02 [Seguidores 90D] [40km] [Promoções]",not_delivering,2025-03-31,Contínuo,2025-04-01,,,,0,"Usando orçamento da campanha",0,0,0,0,,,,0,,0,0,
2026-07-01,2026-07-21,"CJ 03 [LL] [40km] [PROMOÇÕES]",not_delivering,2025-03-31,Contínuo,2025-04-03,,,,0,"Usando orçamento da campanha",0,0,0,0,,,,0,,0,0,
2026-07-01,2026-07-21,"CJ 04 [INTERESSES - COMPRAS ONLINE] [40km] [Chamada]",not_delivering,2025-04-01,Contínuo,2025-04-03,,,,0,"Usando orçamento da campanha",0,0,0,0,,,,0,,0,0,
2026-07-01,2026-07-21,"Cj 01 [Interesses] [CURITIBA] [15km]",not_delivering,2025-05-05,Contínuo,2025-05-05,0,reach,,0,"Usando orçamento da campanha",0,0,0,0,,,,0,,0,0,
2026-07-01,2026-07-21,"CJ 01 - INTERESSES [30km] [18-40]",not_delivering,2025-05-13,Contínuo,2025-05-13,,,,0,"Usando orçamento da campanha",0,0,0,0,,,,0,,0,0,
2026-07-01,2026-07-21,"Cj 02 [Seguidores 90D] [40km] [PROMOÇÕES]",not_delivering,2025-05-27,Contínuo,2025-08-15,,,,0,"Usando orçamento da campanha",0,0,0,0,,,,0,,0,0,
2026-07-01,2026-07-21,"Cj 03 [LL] [40KM] [PROMOÇÕES]",inactive,2025-05-27,Contínuo,2025-07-15,,,,0,"Usando orçamento da campanha",0,0,0,0,,,,0,,0,0,
