"Início dos relatórios","Encerramento dos relatórios","Nome do anúncio","Veiculação de anúncio",Início,Término,"Data da última edição",Resultados,"Indicador de resultados","Custo por resultados","Valor usado (BRL)","Orçamento do conjunto de anúncios","Tipo de orçamento do conjunto de anúncios",Alcance,Frequência,Impressões,"Cliques no link","CTR (taxa de cliques no link)","CPC (custo por clique no link) (BRL)","CPM (custo por 1.000 impressões) (BRL)","Visualizações da página de destino","Visitas ao perfil do Instagram","Seguidores no Instagram","Cliques em Como chegar"
2026-07-01,2026-07-21,"AD09 Aline Store",not_delivering,2026-05-27,Contínuo,2026-05-27,,,,0,"Usando orçamento da campanha",0,0,0,0,,,,0,,0,0,
2026-07-01,2026-07-21,"AD05 Stylo Plus",not_delivering,2026-05-27,Contínuo,2026-05-27,,,,0,"Usando orçamento da campanha",0,0,0,0,,,,0,,0,0,
2026-07-01,2026-07-21,CRSL02,not_delivering,2026-05-27,Contínuo,2026-05-27,,,,0,"Usando orçamento da campanha",0,0,0,0,,,,0,,0,0,
2026-07-01,2026-07-21,"AD01 Broken Style",not_delivering,2026-05-27,Contínuo,2026-05-27,,,,0,"Usando orçamento da campanha",0,0,0,0,,,,0,,0,0,
2026-07-01,2026-07-21,"AD17 Ma Confort",not_delivering,2026-05-27,Contínuo,2026-05-27,,,,0,"Usando orçamento da campanha",0,0,0,0,,,,0,,0,0,
2026-07-01,2026-07-21,"AD19 Só Aki",not_delivering,2026-05-27,Contínuo,2026-05-27,,,,0,"Usando orçamento da campanha",0,0,0,0,,,,0,,0,0,
2026-07-01,2026-07-21,"AD20 Family Calçados",not_delivering,2026-05-27,Contínuo,2026-05-27,,,,0,"Usando orçamento da campanha",0,0,0,0,,,,0,,0,0,
2026-07-01,2026-07-21,CRSL03,not_delivering,2026-05-27,Contínuo,2026-05-27,,,,0,"Usando orçamento da campanha",0,0,0,0,,,,0,,0,0,
2026-07-01,2026-07-21,"CRSL02 Burguer Fest — Cópia",archived,2026-03-04,Contínuo,2026-07-06,,,,0,"Usando orçamento da campanha",0,0,0,0,,,,0,,0,0,
2026-07-01,2026-07-21,"CRSL02 Burguer Fest — Cópia — Cópia",archived,2026-04-01,Contínuo,2026-07-06,,,,0,"Usando orçamento da campanha",0,0,0,0,,,,0,,0,0,
