"Início dos relatórios","Encerramento dos relatórios","Nome da campanha","Veiculação da campanha",Início,"Data da última edição",Término,Resultados,"Indicador de resultados","Custo por resultados","Orçamento do conjunto de anúncios","Tipo de orçamento do conjunto de anúncios","Valor usado (BRL)",Impressões,Alcance,Frequência,"Cliques no link únicos","CTR (taxa de cliques no link)","CPC (custo por clique no link) (BRL)","CPM (custo por 1.000 impressões) (BRL)","Visualizações da página de destino"
2026-07-01,2026-07-21,"CA 77 [Whatsapp - Tipave] [OFF]",inactive,2025-04-10,2025-05-02,Contínuo,,,,20,Diário,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CA 82 - [Autojans- Whatsapp]",inactive,2025-04-23,2026-06-01,Contínuo,,,,10,Diário,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CA 98 [City Motors- Whatsapp] [OFF]",inactive,2025-05-05,2026-05-29,Contínuo,,,,20,Diário,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"[FEIRÃO ITAÚ] [TRÁFEGO SITE]",inactive,2025-07-14,2025-07-28,Contínuo,,,,80,Diário,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CA [Tráfego] [Feirão Digital Itau]",inactive,2025-12-03,2025-12-12,Contínuo,,,,100,Diário,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CA [Loja - Toso Premiun] [Whatsapp]",inactive,2025-12-04,2026-05-29,Contínuo,,,,20,Diário,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CA 01/26 [Tráfego -IG] [Safra]",inactive,2026-01-05,2026-01-12,Contínuo,,,,"Usando o orçamento do conjunto de anúncios",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CA [ Ofertas] [Feirão]",inactive,2026-02-25,2026-03-05,Contínuo,,,,"Usando o orçamento do conjunto de anúncios",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CA 12 [Pascoa] [Alcance]",inactive,2024-03-27,2024-03-30,Contínuo,0,reach,,50,Diário,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CA 13 [Carro zer ou seminovo] [Alcance]",inactive,2024-03-27,2024-05-14,Contínuo,0,reach,,50,Diário,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CA 14 [Tráfego] [Advantage] [Renault Duster]",inactive,2024-03-28,2024-04-08,Contínuo,,,,50,Diário,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"Reconhecimento [Influencer - feirao C6]",inactive,2024-03-28,2024-05-14,Contínuo,0,reach,,25,Diário,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CA 15 [ALCANCE] [Ofertas da semana]",inactive,2024-04-11,2024-05-14,Contínuo,0,reach,,100,Diário,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CA 16 [Tráfego] [Institucional]",inactive,2024-04-11,2024-07-31,Contínuo,0,reach,,30,Diário,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CA 17 [O seu próximo carro está aqui]",inactive,2024-04-16,2024-04-29,Contínuo,,,,20,Diário,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"Publicação do Instagram: Comprou, ganhou!! 🥳⛽️...",inactive,2024-04-17,2024-04-29,Contínuo,,,,27,Diário,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CA 18 [Tráfego] [Carros com qualidade] [FEIRÃO ITAU]",inactive,2024-04-19,2024-04-29,Contínuo,,,,300,Diário,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CA 20 [ALCANCE] [Conteúdos Lojas]",inactive,2024-04-29,2024-06-12,Contínuo,0,reach,,100,Diário,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CA 21 [Feirão] [Tráfego] Maio",inactive,2024-05-14,2024-05-20,Contínuo,,,,500,Diário,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CA 22 [Ofertas da semana] [ Tráfego]",inactive,1969-12-31,2024-05-20,1969-12-31,,,,100,Diário,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CA 23 [Ofertas] [Tráfego]",inactive,2024-05-23,2024-06-12,Contínuo,,,,200,Diário,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CA 24 [Ofertas da semana] [Tráfego]",inactive,2024-06-12,2024-07-08,Contínuo,,,,50,Diário,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CA 25 [Mensagem] [South Motors]",inactive,2024-06-14,2025-04-07,Contínuo,,,,30,Diário,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CA 26 [Tráfego] [ Auto Power]",inactive,2024-06-15,2024-08-08,Contínuo,,,,20,Diário,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CA 28 [Dgongora] [Tráfego]",inactive,2024-06-21,2024-08-28,Contínuo,0,reach,,20,Diário,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CA  38 [Porta mala grande] [Tráfego]",inactive,2024-07-08,2024-09-02,Contínuo,0,reach,,20,Diário,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CA 39  [Mensagem] [City Motors]",inactive,2024-07-09,2024-11-15,Contínuo,,,,25,Diário,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CA 41 [Mensagem] [NIVUS] [Atual]",inactive,2024-07-22,2024-08-08,Contínuo,,,,30,Diário,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CA 42 [Tráfego] [Partiu Carro]",inactive,2024-07-22,2024-09-09,Contínuo,,,,30,Diário,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CA 43 - [Tráfego] [Feirão]",inactive,2024-07-23,2024-07-31,Contínuo,,,,"Usando o orçamento do conjunto de anúncios",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CA 44 [ Tráfego]  [Site] [GS]",inactive,2024-07-25,2024-08-08,Contínuo,,,,"Usando o orçamento do conjunto de anúncios",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CA 45 [Ofertas da semana] [Feirao Itau] [Tráfego]",inactive,2024-07-25,2024-07-31,Contínuo,,,,80,Diário,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CA 46 [Tráfego] [Vídeo Feirao]",inactive,2024-07-26,2024-08-21,Contínuo,,,,"Usando o orçamento do conjunto de anúncios",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CA 47 [Alcance] [Videos Influencer]",inactive,2024-07-26,2024-11-18,Contínuo,0,reach,,20,Diário,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CA [Campanha de Tráfego - SITE]",inactive,2025-09-09,2025-09-16,Contínuo,,,,"Usando o orçamento do conjunto de anúncios",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CA 108 [Redes Sociais - Tráfego]",inactive,2025-09-13,2025-09-13,Contínuo,,,,50,Diário,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CA [GS- WHATSAPP]",inactive,2025-12-16,2026-05-29,Contínuo,,,,20,Diário,0,0,0,0,,,,0,
