"Início dos relatórios","Encerramento dos relatórios","Nome da campanha","Veiculação da campanha",Início,"Data da última edição",Término,Resultados,"Indicador de resultados","Custo por resultados","Orçamento do conjunto de anúncios","Tipo de orçamento do conjunto de anúncios","Valor usado (BRL)",Impressões,Alcance,Frequência,"Cliques no link únicos","CTR (taxa de cliques no link)","CPC (custo por clique no link) (BRL)","CPM (custo por 1.000 impressões) (BRL)","Visualizações da página de destino"
2026-07-01,2026-07-21,"CA 06/26 [Cwb - Mensagens]",inactive,2026-01-21,2026-06-10,Contínuo,,,,10,Diário,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CA 08/26 [South] [Mensagens]",inactive,2026-01-22,2026-06-10,Contínuo,,,,10,Diário,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CA 09/26 [Massa Motors]",inactive,2026-01-28,2026-06-10,Contínuo,,,,10,Diário,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CA 11/26 [Tráfego - site] [Institucional - Região]",inactive,2026-02-10,2026-07-06,Contínuo,195,actions:omni_landing_page_view,0.47707692,"Usando o orçamento do conjunto de anúncios",0,93.03,26437,19478,1.357275,295,1.206642,0.29163,3.518932,195
2026-07-01,2026-07-21,"CA - 26 [Pitbull]",inactive,2026-03-24,2026-06-10,Contínuo,,,,10,Diário,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CA [Tráfego - Institucional] [ Curitiba]",inactive,2026-04-10,2026-07-06,Contínuo,197,actions:omni_landing_page_view,0.29614213,10,Diário,58.34,17710,12091,1.464726,294,1.699605,0.193821,3.294184,197
2026-07-01,2026-07-21,"CA 01/26 [AUTOTRADE] [WHATSAPP]",inactive,2026-04-15,2026-06-10,Contínuo,,,,10,Diário,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CA [Mensagens - Autojans]",inactive,2026-04-20,2026-06-10,Contínuo,,,,10,Diário,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CA [Dgongora - whatsapp]",inactive,2026-04-22,2026-06-10,Contínuo,,,,10,Diário,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CA [City - whatsapp]",inactive,2026-04-22,2026-06-10,Contínuo,,,,10,Diário,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CA [Speed - whatsapp]",inactive,2026-04-22,2026-06-10,Contínuo,,,,10,Diário,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CA [Luville - whatsapp]",inactive,2026-04-24,2026-06-10,Contínuo,,,,10,Diário,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CA [Toso - whatsapp]",inactive,2026-04-24,2026-06-10,Contínuo,,,,10,Diário,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CA [Tráfego - IG]",inactive,2026-05-12,2026-07-21,Contínuo,7326,total_profile_visits,0.16030303,20,Diário,1174.38,103662,61514,1.685177,5829,6.488395,0.174603,11.328934,323
2026-07-01,2026-07-21,"CA - Tráfego ofertas - site",inactive,2026-05-14,2026-07-10,Contínuo,936,actions:link_click,0.09480769,40,Diário,88.74,26412,20844,1.267127,854,3.543844,0.094808,3.359836,376
2026-07-01,2026-07-21,"CA 48 [Ofertas da semana] [ Agosto]",inactive,2024-08-08,2024-08-28,Contínuo,,,,80,Diário,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CA 52 [O.Z] [Whatsapp]",inactive,2024-08-29,2025-01-30,Contínuo,,,,25,Diário,0,0,0,0,,,,0,
