Relatório de campanha
1 de julho de 2026 - 21 de julho de 2026
Status da campanha,Campanha,Orçamento,Nome do orçamento,Tipo de orçamento,Código da moeda,Status,Motivos do status,ID da campanha,Tipo de campanha,CPM médio,Impr.,Interações,Taxa de interação,Custo médio,Custo,CTR,CPC méd.,Pontuação de otimização,Tipo de estratégia de lances,Cliques,Taxa de conv.,Conversões,Custo / conv.,Parcela impr rede de pesquisa,Parc impr perd rede de pesquisa (orç),Taxa de rejeição (UA (Universal Analytics na sigla em inglês)),Duração média da sessão (segundos) (UA (Universal Analytics na sigla em inglês)),% de sessões novas (UA (Universal Analytics na sigla em inglês)),% de sessões engajadas (GA4),Eventos / sessão (GA4),Páginas / sessão (UA (Universal Analytics na sigla em inglês))
Pausada,[L3FT] DIS_Feirão_Semana_Brasil,"118,21", --,Diário,BRL,Pausado,campanha pausada; campanha finalizada,14497741865,Display,0,0,0, --,0,"0,00", --,0, --,Maximizar cliques,0,"0,00%","0,00","0,00", --, --, --,0, --, --,0,0
Removida,Feirão Outubro,"110,00", --,Diário,BRL,Removido,campanha removida,949171338,Pesquisa,0,0,0, --,0,"0,00", --,0, --,Maximizar as conversões,0,"0,00%","0,00","0,00", --, --, --,0, --, --,0,0
Pausada,Feirão carro novo Já - Conversões,"50,00", --,Diário,BRL,Pausado,campanha pausada; campanha finalizada,9001913917,Display,0,0,0, --,0,"0,00", --,0, --,CPA desejado,0,"0,00%","0,00","0,00", --, --, --,0, --, --,0,0
Removida,Anúncios Dinâmicos,"15,00", --,Diário,BRL,Removido,campanha removida,859021367,Pesquisa,0,0,0, --,0,"0,00", --,0, --,CPC otimizado,0,"0,00%","0,00","0,00", --, --, --,0, --, --,0,0
Ativada,[L3FT] SCH_Marcas_Veiculos_Seminovos _Experimento,"102,23", --,Diário,BRL,Encerrado,campanha finalizada; alguns anúncios foram reprovados,16014260797,Pesquisa,0,0,0, --,0,"0,00", --,0, --,Maximizar conversões (CPA desejado),0,"0,00%","0,00","0,00", --, --, --,0, --, --,0,0
Pausada,[display] Feirão,"30,00", --,Diário,BRL,Pausado,campanha pausada; campanha finalizada,11374662846,Display,0,0,0, --,0,"0,00", --,0, --,CPC (otimizado),0,"0,00%","0,00","0,00", --, --, --,0, --, --,0,0
Pausada,[L3FT] DIS_Campanha_ACP,"10,00", --,Diário,BRL,Pausado,campanha pausada; campanha finalizada,12763050613,Display,0,0,0, --,0,"0,00", --,0, --,Maximizar cliques,0,"0,00%","0,00","0,00", --, --, --,0, --, --,0,0
Removida,Feirão Junho 2017,"250,00", --,Diário,BRL,Removido,campanha removida,856218452,Pesquisa,0,0,0, --,0,"0,00", --,0, --,CPC (otimizado),0,"0,00%","0,00","0,00", --, --, --,0, --, --,0,0
Ativada,[L3FT] SCH_Marcas_Veiculos_Seminovos,"102,23", --,Diário,BRL,Encerrado,campanha finalizada; alguns anúncios foram reprovados,14673974574,Pesquisa,0,0,0, --,0,"0,00", --,0, --,Maximizar as conversões,0,"0,00%","0,00","0,00", --, --, --,0, --, --,0,0
Pausada,[L3FT] DIS_RMKT,"32,20", --,Diário,BRL,Pausado,campanha pausada,16628242011,Display,0,0,0, --,0,"0,00", --,0, --,Maximizar as conversões,0,"0,00%","0,00","0,00", --, --, --,0, --, --,0,0
