Relatório de campanha
1 de janeiro de 2026 - 30 de junho de 2026
Mês,Status da campanha,Campanha,Orçamento,Nome do orçamento,Tipo de orçamento,Código da moeda,Status,Motivos do status,ID da campanha,Tipo de campanha,CPM médio,Impr.,Interações,Taxa de interação,Custo médio,Custo,CTR,CPC méd.,Pontuação de otimização,Tipo de estratégia de lances,Cliques,Taxa de conv.,Conversões,Custo / conv.,Parcela impr rede de pesquisa,Parc impr perd rede de pesquisa (orç),Taxa de rejeição (UA (Universal Analytics na sigla em inglês)),Duração média da sessão (segundos) (UA (Universal Analytics na sigla em inglês)),% de sessões novas (UA (Universal Analytics na sigla em inglês)),% de sessões engajadas (GA4),Eventos / sessão (GA4),Páginas / sessão (UA (Universal Analytics na sigla em inglês))
janeiro de 2026,Ativada,PMax_feirão,"200,00", --,Diário,BRL,Encerrado,campanha finalizada,21404313555,Performance Max,0,0,0, --,0,"0,00", --,0, --,Maximizar conversões (CPA desejado),0,"0,00%","0,00","0,00", --, --, --,0, --, --,0,0
fevereiro de 2026,Ativada,PMax_feirão,"200,00", --,Diário,BRL,Encerrado,campanha finalizada,21404313555,Performance Max,0,0,0, --,0,"0,00", --,0, --,Maximizar conversões (CPA desejado),0,"0,00%","0,00","0,00", --, --, --,0, --, --,0,0
março de 2026,Ativada,PMax_feirão,"200,00", --,Diário,BRL,Encerrado,campanha finalizada,21404313555,Performance Max,0,0,0, --,0,"0,00", --,0, --,Maximizar conversões (CPA desejado),0,"0,00%","0,00","0,00", --, --, --,0, --, --,0,0
abril de 2026,Ativada,PMax_feirão,"200,00", --,Diário,BRL,Encerrado,campanha finalizada,21404313555,Performance Max,0,0,0, --,0,"0,00", --,0, --,Maximizar conversões (CPA desejado),0,"0,00%","0,00","0,00", --, --, --,0, --, --,0,0
maio de 2026,Ativada,PMax_feirão,"200,00", --,Diário,BRL,Encerrado,campanha finalizada,21404313555,Performance Max,0,0,0, --,0,"0,00", --,0, --,Maximizar conversões (CPA desejado),0,"0,00%","0,00","0,00", --, --, --,0, --, --,0,0
junho de 2026,Ativada,PMax_feirão,"200,00", --,Diário,BRL,Encerrado,campanha finalizada,21404313555,Performance Max,0,0,0, --,0,"0,00", --,0, --,Maximizar conversões (CPA desejado),0,"0,00%","0,00","0,00", --, --, --,0, --, --,0,0
janeiro de 2026,Ativada,PMax_Institucional,"50,00", --,Diário,BRL,Qualificado (limitado),limitado pelo orçamento,21070607239,Performance Max,"45,52",306.000,47.825,"15,63%","0,29","13928,01","9,30%","0,49","86,50",Maximizar conversões (CPA desejado),28.455,"4,02%","1.921,05","7,25","18,80%","8,67%", --,0, --,"80,45%","19,93",0
fevereiro de 2026,Ativada,PMax_Institucional,"50,00", --,Diário,BRL,Qualificado (limitado),limitado pelo orçamento,21070607239,Performance Max,"36,02",287.365,34.663,"12,06%","0,30","10350,67","7,47%","0,48","86,50",Maximizar conversões (CPA desejado),21.460,"4,10%","1.422,31","7,28","12,52%","12,82%", --,0, --,"81,93%","18,45",0
março de 2026,Ativada,PMax_Institucional,"50,00", --,Diário,BRL,Qualificado (limitado),limitado pelo orçamento,21070607239,Performance Max,"34,14",277.485,53.311,"19,21%","0,18","9472,90","6,67%","0,51","86,50",Maximizar conversões (CPA desejado),18.521,"2,63%","1.401,50","6,76",< 10%,"16,55%", --,0, --,"77,43%","18,73",0
abril de 2026,Ativada,PMax_Institucional,"50,00", --,Diário,BRL,Qualificado (limitado),limitado pelo orçamento,21070607239,Performance Max,"35,41",337.147,42.866,"12,71%","0,28","11938,56","7,22%","0,49","86,50",Maximizar conversões (CPA desejado),24.340,"3,23%","1.385,90","8,61",< 10%,"3,11%", --,0, --,"74,28%","17,84",0
