"Início dos relatórios","Encerramento dos relatórios","Nome do conjunto de anúncios","Veiculação do conjunto de anúncios",Início,"Data da última edição",Término,Resultados,"Indicador de resultados","Custo por resultados","Orçamento do conjunto de anúncios","Tipo de orçamento do conjunto de anúncios","Valor usado (BRL)",Impressões,Alcance,Frequência,"Cliques no link únicos","CTR (taxa de cliques no link)","CPC (custo por clique no link) (BRL)","CPM (custo por 1.000 impressões) (BRL)","Visualizações da página de destino"
2026-07-01,2026-07-21,"LL 2 %- Curitiba - 19+",not_delivering,2026-05-14,2026-05-14,Contínuo,2157,total_profile_visits,0.14856745,"Usando orçamento da campanha",0,320.46,23161,17627,1.31395,1870,8.71724,0.158722,13.83619,34
2026-07-01,2026-07-21,"[Interesses - 24+] [Curitiba 40km]",not_delivering,2026-05-15,2026-05-20,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CJ 01 [INTERESSES] [17KM] [ CURITIBA]",not_delivering,2026-05-29,2026-05-29,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,[IG][40KM][LL2%][19-65+],not_delivering,2026-06-02,2026-06-02,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,[IG][40KM][INTERESSES][19-65+],not_delivering,2026-06-02,2026-06-02,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,[SITE][40KM][LL2%][19-65+],not_delivering,2026-06-02,2026-06-02,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,[SITE][40KM][INTERESSES][19-65+],not_delivering,2026-06-02,2026-06-02,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"Post do Instagram: 🔥 Fim de semana com ofertas!...",not_delivering,2026-06-05,2026-06-05,2026-06-08,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"[Frio][Interesses][40km][teste A/B]",inactive,2026-06-16,2026-07-03,Contínuo,1,total_profile_visits,0.08,"Usando orçamento da campanha",0,0.08,12,11,1.090909,2,16.666667,0.04,6.666667,
2026-07-01,2026-07-21,"Post do Instagram: Feirão Jogada Certa vai...",not_delivering,2026-06-17,2026-06-17,2026-06-26,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"Post do Instagram: 🚗 Preços que você não vai...",not_delivering,2026-06-19,2026-06-19,2026-06-22,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"Post do Instagram: As estrelas já estão em campo...",not_delivering,2026-06-23,2026-06-23,2026-06-27,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,[BOF][RMKT][Site+IG+FB+VV][40km],active,2026-06-29,2026-07-20,Contínuo,5346,actions:omni_landing_page_view,0.25963337,50,Diário,1388,286375,91119,3.142868,5160,2.503012,0.193638,4.846792,5346
